Sex	WeightClassKg	Best3SquatKg	Best3BenchKg	Best3DeadliftKg	Country	Date
M	82.5	220	105	192.5	Venezuela	10/18/10
M	82.5	180	100	190	Turkey	10/18/10
M	90	300	215	275	Russia	10/18/10
M	90	270	145	240	Brazil	10/18/10
M	90	210	157.5	240	Ukraine	10/18/10
M	90	190	160	210	Venezuela	10/18/10
M	90	205	150	190	Russia	10/18/10
M	100	310	210	270	Russia	10/18/10
M	100	307.5	185	255	Iran	10/18/10
M	100	170	130	202.5	Venezuela	10/18/10
M	100	142.5	92.5	190	Trinidad and Tobago	10/18/10
M	110	305	215	281	Russia	10/18/10
M	110	230	130	220	South Africa	10/18/10
M	110	175	105	222.5	Turkey	10/18/10
M	110	140	120	200	Turkey	10/18/10
M	125	290	250	240	Russia	10/18/10
M	125+	325	187.5	280	Iran	10/18/10
M	125+	310	195	270	Ukraine	10/18/10
M	125+	285	190	265	Iran	10/18/10
M	125+	160	90	180	Turkey	10/18/10
M	60	190	115	205	Ukraine	10/18/10
M	60	170	120	175	Russia	10/18/10
M	56	200	125	190	Iran	10/18/10
M	67.5	185	130	220	Ukraine	10/18/10
M	56	150	100	200	Ukraine	10/18/10
M	67.5	165	90	180	Venezuela	10/18/10
M	60	120	80	160	Turkey	10/18/10
M	60	100	90	130	Turkey	10/18/10
M	100	310	210	270	Russia	10/18/10
M	125+	325	187.5	280	Iran	10/18/10
M	75	242.5	135	232.5	Ukraine	10/18/10
M	75	230	140	250	Iran	10/18/10
M	90	205	150	190	Russia	10/18/10
M	67.5	230	135	202.5	Iran	10/18/10
M	82.5	240	145	240	Ukraine	10/18/10
M	60	145	105	195	Brazil	10/18/10
M	82.5	180	125	240	Russia	10/18/10
M	67.5	140	97.5	170	Turkey	10/18/10
M	90	270	145	240	Brazil	10/18/10
M	125+	160	90	180	Turkey	10/18/10
M	90	190	160	210	Venezuela	10/18/10
M	82.5	220	105	192.5	Venezuela	10/18/10
F	52	110	52.5	110	Ukraine	4/7/08
F	56	110	60	125	Ukraine	4/7/08
F	52	37.5	25	62.5	USA	4/7/08
F	52	110	52.5	110	Ukraine	4/7/08
F	56	110	60	125	Ukraine	4/7/08
F	52	37.5	25	62.5	USA	4/7/08
F	60	120	60	150	Ukraine	4/7/08
F	67.5	120	70	130	Russia	4/7/08
F	67.5	105	60	122.5	Russia	4/7/08
M	60	200	120	211	Ukraine	4/7/08
M	82.5	225	160	220	Ukraine	4/7/08
M	56	160	100	185	Ukraine	4/7/08
M	67.5	205	110	205	Ukraine	4/7/08
M	75	180	152.5	190	Ukraine	4/7/08
M	110	147.5	117.5	172.5	USA	4/7/08
M	56	62.5	35	97.5	USA	4/7/08
M	67.5	62.5	45	82.5	USA	4/7/08
M	90	250	155	260	Ukraine	4/7/08
M	125	277.5	180	287.5	Trinidad and Tobago	4/7/08
M	110	250	197.5	255	USA	4/7/08
M	125+	255	222.5	252.5	USA	4/7/08
M	125	235	213.5	235	Russia	4/7/08
M	82.5	190	120	242.5	Czechia	4/7/08
M	90	195	140	185	Venezuela	4/7/08
M	90	205	155	202.5	Venezuela	4/7/08
M	82.5	205	125	190	Venezuela	4/7/08
M	56	160	100	185	Ukraine	4/7/08
M	56	62.5	35	97.5	USA	4/7/08
M	60	200	120	211	Ukraine	4/7/08
M	67.5	205	110	205	Ukraine	4/7/08
M	67.5	155	130	165	Russia	4/7/08
M	67.5	62.5	45	82.5	USA	4/7/08
M	75	180	152.5	190	Ukraine	4/7/08
M	75	160	130	182.5	Russia	4/7/08
M	82.5	275	191	260	Russia	4/7/08
M	82.5	225	160	220	Ukraine	4/7/08
M	82.5	190	120	242.5	Czechia	4/7/08
M	82.5	205	125	190	Venezuela	4/7/08
M	90	260	150	267.5	Russia	4/7/08
M	90	250	155	260	Ukraine	4/7/08
M	90	205	155	202.5	Venezuela	4/7/08
M	90	195	140	185	Venezuela	4/7/08
M	100	275	187.5	256.5	Russia	4/7/08
M	100	210	205	227.5	USA	4/7/08
M	100	190	135	200	Canada	4/7/08
M	110	267.5	210	257.5	Austria	4/7/08
M	110	265	210	240	Russia	4/7/08
M	110	250	197.5	255	USA	4/7/08
M	110	147.5	117.5	172.5	USA	4/7/08
M	125	277.5	180	287.5	Trinidad and Tobago	4/7/08
M	125	240	207.5	237.5	Canada	4/7/08
M	125	235	213.5	235	Russia	4/7/08
M	125+	255	222.5	252.5	USA	4/7/08
M	52	77.5	70	117.5	USA	4/1/99
M	60	122.5	57.5	167.5	USA	4/1/99
M	67.5	55	50	95	Canada	4/1/99
M	75	125	92.5	182.5	Canada	4/1/99
M	75	100	82.5	157.5	USA	4/1/99
M	82.5	260	145	270	Austria	4/1/99
M	82.5	185	115	205	Spain	4/1/99
M	90	200	145	232.5	Netherlands	4/1/99
M	90	200	152.5	220	Canada	4/1/99
M	90	200	112.5	217.5	USA	4/1/99
M	90	160	90	220	Canada	4/1/99
M	100	210	142.5	205	Spain	4/1/99
M	100	185	167.5	192.5	USA	4/1/99
M	110	240	140	250	Australia	4/1/99
M	110	175	152.5	180	Canada	4/1/99
M	125	227.5	170	205	USA	4/1/99
M	82.5	175	117.5	190	Canada	4/1/99
M	82.5	102.5	62.5	150	Canada	4/1/99
M	110	175	135	200	Canada	4/1/99
F	56	55	47.5	82.5	USA	4/1/99
F	75	102.5	80	102.5	USA	4/1/99
F	82.5	80	57.5	117.5	USA	4/1/99
F	75	52.5	32.5	92.5	Canada	4/1/99
M	75	145.15	77.11	145.15	USA	12/3/22
M	82.5	272.16	170.1	233.6	USA	12/3/22
M	110	226.8	138.35	226.8	USA	12/3/22
M	140+	199.58	142.88	238.14	USA	12/3/22
F	67.5	192.78	111.13	165.56	USA	12/3/22
M	118	184.61	102.06	214.55	USA	12/3/22
M	140	281.23	149.69	299.37	USA	12/3/22
M	140	299.37	204.12	299.37	USA	12/3/22
M	110	272.16	151.95	249.48	USA	12/3/22
M	110	226.8	158.76	240.4	USA	12/3/22
M	90	294.84	213.19	244.94	USA	12/3/22
M	110	254.01	172.37	281.23	USA	12/3/22
M	125	263.08	156.49	215.46	USA	12/3/22
M	140	365.14	204.12	317.51	USA	12/3/22
M	100	290.3	188.24	204.12	USA	12/3/22
M	125	278.96	204.12	294.84	USA	12/3/22
M	90	192.78	136.08	240.4	USA	12/3/22
M	82.5	206.38	95.25	201.85	USA	12/3/22
M	90	226.8	120.2	197.31	USA	12/3/22
M	100	183.7	147.42	204.12	USA	12/3/22
M	110	167.83	124.74	195.04	USA	12/3/22
M	100	181.44	170.1	215.46	USA	12/3/22
M	100	170.1	86.18	174.63	USA	12/3/22
M	110	206.38	147.42	238.14	USA	12/3/22
M	82.5	149.69	72.57	170.1	USA	12/3/22
F	67.5	124.74	88.45	142.88	USA	12/3/22
F	67.5	108.86	72.57	147.42	USA	12/3/22
M	67.5	106.59	90.72	117.93	USA	12/3/22
